fips,county,state,location,population
16053,Jerome,Idaho,Idaho-Jerome,22374
16055,Kootenai,Idaho,Idaho-Kootenai,138494
16057,Latah,Idaho,Idaho-Latah,37244
16059,Lemhi,Idaho,Idaho-Lemhi,7936
16061,Lewis,Idaho,Idaho-Lewis,3821
16063,Lincoln,Idaho,Idaho-Lincoln,5208
16065,Madison,Idaho,Idaho-Madison,37536
16067,Minidoka,Idaho,Idaho-Minidoka,20069
16069,Nez Perce,Idaho,Idaho-Nez Perce,39265
16071,Oneida,Idaho,Idaho-Oneida,4286
16073,Owyhee,Idaho,Idaho-Owyhee,11526
16075,Payette,Idaho,Idaho-Payette,22623
16077,Power,Idaho,Idaho-Power,7817
16079,Shoshone,Idaho,Idaho-Shoshone,12765
16081,Teton,Idaho,Idaho-Teton,10170
16083,Twin Falls,Idaho,Idaho-Twin Falls,77230
16085,Valley,Idaho,Idaho-Valley,9862
16087,Washington,Idaho,Idaho-Washington,10198
17001,Adams,Illinois,Illinois-Adams,67103
17003,Alexander,Illinois,Illinois-Alexander,8238
17005,Bond,Illinois,Illinois-Bond,17768
17007,Boone,Illinois,Illinois-Boone,54165
17009,Brown,Illinois,Illinois-Brown,6937
17011,Bureau,Illinois,Illinois-Bureau,34978
17013,Calhoun,Illinois,Illinois-Calhoun,5089
17015,Carroll,Illinois,Illinois-Carroll,15387
17017,Cass,Illinois,Illinois-Cass,13642
17019,Champaign,Illinois,Illinois-Champaign,201081
17021,Christian,Illinois,Illinois-Christian,34800
17023,Clark,Illinois,Illinois-Clark,16335
17025,Clay,Illinois,Illinois-Clay,13815
17027,Clinton,Illinois,Illinois-Clinton,37762
17029,Coles,Illinois,Illinois-Coles,53873
17031,Cook,Illinois,Illinois-Cook,5194675
17033,Crawford,Illinois,Illinois-Crawford,19817
17035,Cumberland,Illinois,Illinois-Cumberland,11048
17037,DeKalb,Illinois,Illinois-DeKalb,105160
17039,De Witt,Illinois,Illinois-De Witt,16561
17041,Douglas,Illinois,Illinois-Douglas,19980
17043,DuPage,Illinois,Illinois-DuPage,916924
17045,Edgar,Illinois,Illinois-Edgar,18576
17047,Edwards,Illinois,Illinois-Edwards,6721
17049,Effingham,Illinois,Illinois-Effingham,34242
17051,Fayette,Illinois,Illinois-Fayette,22140
17053,Ford,Illinois,Illinois-Ford,14081
17055,Franklin,Illinois,Illinois-Franklin,39561
17057,Fulton,Illinois,Illinois-Fulton,37069
17059,Gallatin,Illinois,Illinois-Gallatin,5589
17061,Greene,Illinois,Illinois-Greene,13886
17063,Grundy,Illinois,Illinois-Grundy,50063
17065,Hamilton,Illinois,Illinois-Hamilton,8457
17067,Hancock,Illinois,Illinois-Hancock,19104
17069,Hardin,Illinois,Illinois-Hardin,4320
17071,Henderson,Illinois,Illinois-Henderson,7331
17073,Henry,Illinois,Illinois-Henry,50486
17075,Iroquois,Illinois,Illinois-Iroquois,29718
17077,Jackson,Illinois,Illinois-Jackson,60218
17079,Jasper,Illinois,Illinois-Jasper,9698
17081,Jefferson,Illinois,Illinois-Jefferson,38827
17083,Jersey,Illinois,Illinois-Jersey,22985
17085,Jo Daviess,Illinois,Illinois-Jo Daviess,22678
17087,Johnson,Illinois,Illinois-Johnson,12582
17089,Kane,Illinois,Illinois-Kane,515269
17091,Kankakee,Illinois,Illinois-Kankakee,113449
17093,Kendall,Illinois,Illinois-Kendall,114736
17095,Knox,Illinois,Illinois-Knox,52919
17097,Lake,Illinois,Illinois-Lake,703462
17099,La Salle,Illinois,Illinois-La Salle,113924
