fips,county,state,location,population
06025,Imperial,California,California-Imperial,174528
06027,Inyo,California,California-Inyo,18546
06029,Kern,California,California-Kern,839631
06031,Kings,California,California-Kings,152982
06033,Lake,California,California-Lake,64665
06035,Lassen,California,California-Lassen,34895
06037,Los Angeles,California,California-Los Angeles,9818605
06039,Madera,California,California-Madera,150865
06041,Marin,California,California-Marin,252409
06043,Mariposa,California,California-Mariposa,18251
06045,Mendocino,California,California-Mendocino,87841
06047,Merced,California,California-Merced,255793
06049,Modoc,California,California-Modoc,9686
06051,Mono,California,California-Mono,14202
06053,Monterey,California,California-Monterey,415057
06055,Napa,California,California-Napa,136484
06057,Nevada,California,California-Nevada,98764
06059,Orange,California,California-Orange,3010232
06061,Placer,California,California-Placer,348432
06063,Plumas,California,California-Plumas,20007
06065,Riverside,California,California-Riverside,2189641
06067,Sacramento,California,California-Sacramento,1418788
06069,San Benito,California,California-San Benito,55269
06071,San Bernardino,California,California-San Bernardino,2035210
06073,San Diego,California,California-San Diego,3095313
06075,San Francisco,California,California-San Francisco,805235
06077,San Joaquin,California,California-San Joaquin,685306
06079,San Luis Obispo,California,California-San Luis Obispo,269637
06081,San Mateo,California,California-San Mateo,718451
06083,Santa Barbara,California,California-Santa Barbara,423895
06085,Santa Clara,California,California-Santa Clara,1781642
06087,Santa Cruz,California,California-Santa Cruz,262382
06089,Shasta,California,California-Shasta,177223
06091,Sierra,California,California-Sierra,3240
06093,Siskiyou,California,California-Siskiyou,44900
06095,Solano,California,California-Solano,413344
06097,Sonoma,California,California-Sonoma,483878
06099,Stanislaus,California,California-Stanislaus,514453
06101,Sutter,California,California-Sutter,94737
06103,Tehama,California,California-Tehama,63463
06105,Trinity,California,California-Trinity,13786
06107,Tulare,California,California-Tulare,442179
06109,Tuolumne,California,California-Tuolumne,55365
06111,Ventura,California,California-Ventura,823318
06113,Yolo,California,California-Yolo,200849
06115,Yuba,California,California-Yuba,72155
08001,Adams,Colorado,Colorado-Adams,441603
08003,Alamosa,Colorado,Colorado-Alamosa,15445
08005,Arapahoe,Colorado,Colorado-Arapahoe,572003
08007,Archuleta,Colorado,Colorado-Archuleta,12084
08009,Baca,Colorado,Colorado-Baca,3788
08011,Bent,Colorado,Colorado-Bent,6499
08013,Boulder,Colorado,Colorado-Boulder,294567
08014,Broomfield,Colorado,Colorado-Broomfield,55889
08015,Chaffee,Colorado,Colorado-Chaffee,17809
08017,Cheyenne,Colorado,Colorado-Cheyenne,1836
08019,Clear Creek,Colorado,Colorado-Clear Creek,9088
08021,Conejos,Colorado,Colorado-Conejos,8256
08023,Costilla,Colorado,Colorado-Costilla,3524
08025,Crowley,Colorado,Colorado-Crowley,5823
08027,Custer,Colorado,Colorado-Custer,4255
08029,Delta,Colorado,Colorado-Delta,30952
08031,Denver,Colorado,Colorado-Denver,600158
08033,Dolores,Colorado,Colorado-Dolores,2064
